Author	Book Title	Series	ISBN	Year Level
Temple, Kate; Temple, Jol; Foye ,Jon (ill.)	Captain Jimmy Cook Discovers X Marks The Spot	Captain Jimmy Cook Discovers ...	9781760291945	3-4
Thurloe, Helen	Promising Azra		9781760113278	7-8, 9-10
Tintera, Amy	Ruined	Ruined 01	9781760290641	9-10
Tintera, Amy	Avenged	Ruined 02	9781760290658	9-10
Various	Begin, End, Begin: A #LoveOzYA Anthology		9781460752319	9-10
Walker, Anna	Florette		9780670079414	EC-2
Wallace, Adam	Disastrously Daring!		9780994469304	3-4
Wallace, Adam	Erratically Epic!		9780994469366	3-4
Walliams, David; Ross, Tony (ill.)	The Midnight Gang		9780008164614	5-6
Watkins, Ross; Anelli, Liz (ill.)	One Photo		9780670077977	5-6
Weetman, Nova	The Secrets We Keep	The Secrets We Keep 01	9780802254215	5-6
Westerfeld, Scott	Horizon		9781743817605	7-8, 9-10
Whitebeach, Terry; Enadio, Sarafino	Trouble Tomorrow		9781760291464	9-10
Wild, Ailsa	Squishy Taylor and the Silver Suitcase	Squishy Taylor	9781760128784	3-4, 5-6
Wilkinson, Lili	The Boundless Sublime		9781760113360	9-10
Wilson, Mark	Beth: The Story of a Child Convict		9780734417442	5-6
Wilson, Mark	Flapper, VC		9780734416759	5-6
Wolfer, Diane; Potter, Heather (ill.)	Nanna's Button Tin		9781922077677	EC-2
Wright, Ann	Magnificent Creatures Animals on the Move!		9780571330683	EC-2, 3-4
Yaxley, Richard	This is My Song		9781760276140	7-8, 9-10
Zorn, Claire	One Would Think the Deep		9780702253942	9-10
